0 birthday;anonymized feature 206, 1/2/2001
56 education;school;id;anonymized feature 250, UC Riverside
57 education;school;id;anonymized feature 251, UC San Diego
58 education;school;id;anonymized feature 52, Yale University
59 education;type;anonymized feature 53, Public
60 education;type;anonymized feature 54, Private
61 education;type;anonymized feature 55, Online
62 education;with;id;anonymized feature 252, Books
63 education;year;id;anonymized feature 58, 2001
64 education;year;id;anonymized feature 253, 2002
65 education;year;id;anonymized feature 59, 2003
66 education;year;id;anonymized feature 254, 2004
67 education;year;id;anonymized feature 255, 2005
68 education;year;id;anonymized feature 60, 2006
69 education;year;id;anonymized feature 61, 1998
70 education;year;id;anonymized feature 62, 1994
71 education;year;id;anonymized feature 63, 1995
72 education;year;id;anonymized feature 64, 1996
73 education;year;id;anonymized feature 65, 2007
74 education;year;id;anonymized feature 256, 2008
75 education;year;id;anonymized feature 66, 2010
76 education;year;id;anonymized feature 67, 2012
77 education;year;id;anonymized feature 68, 2013
78 education;year;id;anonymized feature 69, 2005
79 education;year;id;anonymized feature 257, 1990
80 education;year;id;anonymized feature 258, 1994
81 education;year;id;anonymized feature 259, 1995
82 education;year;id;anonymized feature 72, 2005
83 first_name;anonymized feature 260, John
84 first_name;anonymized feature 261, Jefferson
85 first_name;anonymized feature 262, Michael
86 gender;anonymized feature 77, Male
87 gender;anonymized feature 78, Female
88 hometown;id;anonymized feature 128, San Francisco
89 hometown;id;anonymized feature 263, Los Angel
90 hometown;id;anonymized feature 84, San Diego
91 hometown;id;anonymized feature 264, Santa Cruz
92 languages;id;anonymized feature 92, English
93 languages;id;anonymized feature 94, Chinese
94 languages;id;anonymized feature 265, French
95 languages;id;anonymized feature 266, German
96 last_name;anonymized feature 267, Anderson
97 last_name;anonymized feature 268, Joffei
98 last_name;anonymized feature 269, Yang
99 last_name;anonymized feature 270, Smith
100 last_name;anonymized feature 271, Johnson
101 last_name;anonymized feature 110, Jones
102 last_name;anonymized feature 272, Brown
103 last_name;anonymized feature 273, Davis
104 last_name;anonymized feature 274, Miller
105 last_name;anonymized feature 275, Wilson
106 last_name;anonymized feature 276, Wood
107 last_name;anonymized feature 277, Allen
108 locale;anonymized feature 127, Central Park
109 locale;anonymized feature 278, Pier 39
110 location;id;anonymized feature 128, 123 7th street
111 location;id;anonymized feature 129, 23 6th street
112 location;id;anonymized feature 279, 5th street
113 location;id;anonymized feature 280, 123 Grand street
114 location;id;anonymized feature 281, 100 Market street
115 location;id;anonymized feature 133, 90 united sreet
116 location;id;anonymized feature 84, 70 victory street
117 location;id;anonymized feature 176, 123 Market street
118 location;id;anonymized feature 282, 56 Jones street
119 location;id;anonymized feature 283, 123 Taylor street
120 location;id;anonymized feature 284, 20 Market street
121 location;id;anonymized feature 138, 50 Jones street
122 work;employer;id;anonymized feature 225, H&M
123 work;employer;id;anonymized feature 285, Burger King
124 work;employer;id;anonymized feature 286, In & Out
125 work;employer;id;anonymized feature 287, USPS
126 work;employer;id;anonymized feature 288, Fex
127 work;employer;id;anonymized feature 289, H&M
128 work;employer;id;anonymized feature 290, Burger King
129 work;employer;id;anonymized feature 291, In & Out
130 work;employer;id;anonymized feature 292, USPS
131 work;employer;id;anonymized feature 293, Fex
132 work;employer;id;anonymized feature 52, H&M
133 work;end_date;anonymized feature 157, 1/2/2015
134 work;end_date;anonymized feature 294, 1/3/2016
135 work;end_date;anonymized feature 166, 1/2/200
136 work;end_date;anonymized feature 170, 1/4/2013
137 work;end_date;anonymized feature 171, 3/4/2002
138 work;location;id;anonymized feature 295, 55 5th street
139 work;location;id;anonymized feature 128, 123 Market street
140 work;location;id;anonymized feature 296, 23 6th street
141 work;location;id;anonymized feature 84, 123 Grand street
142 work;location;id;anonymized feature 297, 70 8th street
143 work;location;id;anonymized feature 298, 90 9th street
144 work;position;id;anonymized feature 183, Cashier
145 work;position;id;anonymized feature 299, Teller
146 work;position;id;anonymized feature 300, Supervisor
147 work;position;id;anonymized feature 301, Manager
148 work;position;id;anonymized feature 302, Cashier
149 work;position;id;anonymized feature 303, Teller
150 work;position;id;anonymized feature 304, Supervisor
151 work;position;id;anonymized feature 192, Manager
152 work;position;id;anonymized feature 193, Cashier
153 work;start_date;anonymized feature 157, 1/2/200
154 work;start_date;anonymized feature 305, 1/4/2001
155 work;start_date;anonymized feature 306, 1/6/2003
156 work;start_date;anonymized feature 307, 8/1/2004
157 work;start_date;anonymized feature 308, 8/1/2005
158 work;start_date;anonymized feature 309, 4/1/2001
159 work;start_date;anonymized feature 310, 7/1/2002
160 work;start_date;anonymized feature 202, 5/1/2013
